"","kd_wilayah","r101","r102","r103","r104","r105","rasio_tani","sektor_utama","jumlah_bank","jumlah_koperasi","keberadaan_toko_sarana_pertanian","keberadaan_fasilitas_kredit","cluster"
"1",5101021007,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[007] LOLOAN TIMUR","1. Perkotaan",0.07,"Lainnya",3,1,"Tidak ada","Ada",1
"2",5101021001,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[001] PERANCAK","2. Perdesaan",0.43,"Lainnya",1,1,"Tidak ada","Ada",1
"3",5101021004,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[004] BUDENG","1. Perkotaan",0.38,"Lainnya",1,1,"Ada","Ada",2
"4",5101021002,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[002] AIR KUNING","1. Perkotaan",0.51,"Lainnya",1,1,"Tidak ada","Ada",2
"5",5101021003,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[003] YEH KUNING","1. Perkotaan",0.53,"Pertanian Tanaman Pangan",1,2,"Ada","Ada",2
"6",5101021008,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[008] PENDEM","1. Perkotaan",0.33,"Lainnya",7,5,"Ada","Ada",1
"7",5101021010,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[010] DANGIN TUKADAYA","1. Perkotaan",0.32,"Pertanian Tanaman Pangan",1,3,"Ada","Ada",2
"8",5101021005,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[005] SANGKARAGUNG","2. Perdesaan",0.4,"Pertanian Tanaman Pangan",1,1,"Ada","Ada",2
"9",5101021009,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[009] BATUAGUNG","1. Perkotaan",0.46,"Lainnya",1,3,"Tidak ada","Ada",1
"10",5101021006,"[51] BALI","[01] JEMBRANA","[021] JEMBRANA","[006] DAUHWARU","1. Perkotaan",0.25,"Lainnya",7,4,"Ada","Ada",1
"11",5101020018,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[018] BERANGBANG","1. Perkotaan",0.57,"Lainnya",1,2,"Ada","Ada",2
"12",5101020004,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[004] PENGAMBENGAN","1. Perkotaan",0.27,"Lainnya",1,2,"Ada","Ada",1
"13",5101020016,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[016] BANYUBIRU","1. Perkotaan",0.3,"Lainnya",2,3,"Ada","Ada",1
"14",5101020017,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[017] KALIAKAH","1. Perkotaan",0.49,"Pertanian Tanaman Pangan",2,2,"Ada","Ada",2
"15",5101020001,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[001] CUPEL","1. Perkotaan",0.39,"Lainnya",0,1,"Tidak ada","Ada",1
"16",5101020003,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[003] TEGAL BADENG TIMUR","2. Perdesaan",0.24,"Pertanian Tanaman Pangan",2,1,"Ada","Ada",2
"17",5101020002,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[002] TEGAL BADENG BARAT","1. Perkotaan",0.39,"Pertanian Tanaman Pangan",1,1,"Ada","Ada",2
"18",5101020014,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[014] BANJAR TENGAH","1. Perkotaan",0.02,"Lainnya",2,6,"Tidak ada","Ada",1
"19",5101020012,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[012] LOLOAN BARAT","1. Perkotaan",0.03,"Lainnya",0,0,"Tidak ada","Ada",1
"20",5101020013,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[013] LELATENG","1. Perkotaan",0.17,"Lainnya",2,0,"Ada","Ada",1
"21",5101020019,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[019] BALER BALE AGUNG","1. Perkotaan",0.2,"Lainnya",2,17,"Ada","Ada",1
"22",5101020015,"[51] BALI","[01] JEMBRANA","[020] NEGARA","[015] BALUK","2. Perdesaan",0.44,"Lainnya",1,4,"Ada","Ada",2
"23",5101010006,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[006] MANISTUTU","1. Perkotaan",0.71,"Pertanian Tanaman Pangan",1,1,"Tidak ada","Ada",2
"24",5101010004,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[004] TUWED","1. Perkotaan",0.51,"Lainnya",1,2,"Ada","Ada",2
"25",5101010010,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[010] BLIMBINGSARI","2. Perdesaan",0.68,"Lainnya",0,1,"Tidak ada","Ada",2
"26",5101010009,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[009] EKASARI","2. Perdesaan",0.62,"Pertanian Tanaman Pangan",3,5,"Ada","Ada",2
"27",5101010001,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[001] GILIMANUK","1. Perkotaan",0.2,"Lainnya",4,1,"Tidak ada","Ada",1
"28",5101010005,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[005] TUKADAYA","1. Perkotaan",0.7,"Pertanian Tanaman Pangan",2,3,"Ada","Ada",2
"29",5101010003,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[003] CANDIKUSUMA","1. Perkotaan",0.49,"Lainnya",1,1,"Tidak ada","Ada",2
"30",5101010007,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[007] WARNASARI","2. Perdesaan",0.69,"Pertanian Tanaman Pangan",1,0,"Tidak ada","Ada",2
"31",5101010008,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[008] NUSA SARI","2. Perdesaan",0.75,"Lainnya",1,1,"Tidak ada","Ada",2
"32",5101010002,"[51] BALI","[01] JEMBRANA","[010] MELAYA","[002] MELAYA","1. Perkotaan",0.44,"Lainnya",4,2,"Ada","Ada",2
"33",5101030010,"[51] BALI","[01] JEMBRANA","[030] MENDOYO","[010] YEH EMBANG KANGIN","2. Perdesaan",0.55,"Lainnya",2,4,"Ada","Ada",2
