,idkec,r101,r102,r103,r104,r105,rekening,jasa_keuangan,kur
1,5101021,[51] BALI,[01] JEMBRANA,[010] MELAYA,[002] MELAYA,1. Perkotaan,65.37,55.01,19.68
2,5101020,[51] BALI,[01] JEMBRANA,[010] MELAYA,[002] MELAYA,1. Perkotaan,65.37,55.01,19.68
3,5101010,[51] BALI,[01] JEMBRANA,[010] MELAYA,[002] MELAYA,1. Perkotaan,65.37,55.01,19.68
4,5101030,[51] BALI,[01] JEMBRANA,[030] MENDOYO,[001] MENDOYO DAUH TUKAD,1. Perkotaan,63.16,53.28,14.47
5,5101040,[51] BALI,[01] JEMBRANA,[040] PEKUTATAN,[003] PEKUTATAN,1. Perkotaan,61.02,52.09,10.3
6,5102010,[51] BALI,[02] TABANAN,[010] SELEMADEG,[014] SELEMADEG,2. Perdesaan,42.62,33.76,26.68
7,5102060,[51] BALI,[02] TABANAN,[040] KEDIRI,[013] KEDIRI,1. Perkotaan,77.06,42.97,18.71
8,5102012,[51] BALI,[02] TABANAN,[010] SELEMADEG,[014] SELEMADEG,2. Perdesaan,42.62,33.76,26.68
9,5102020,[51] BALI,[02] TABANAN,[010] SELEMADEG,[014] SELEMADEG,2. Perdesaan,42.62,33.76,26.68
10,5102050,[51] BALI,[02] TABANAN,[040] KEDIRI,[013] KEDIRI,1. Perkotaan,77.06,42.97,18.71
11,5102030,[51] BALI,[02] TABANAN,[030] TABANAN,[009] BUAHAN,2. Perdesaan,41.9,37.48,28.74
12,5102040,[51] BALI,[02] TABANAN,[040] KEDIRI,[013] KEDIRI,1. Perkotaan,77.06,42.97,18.71
13,5102070,[51] BALI,[02] TABANAN,[070] PENEBEL,[018] SANGKETAN,2. Perdesaan,52.22,30.89,32.16
14,5102080,[51] BALI,[02] TABANAN,[011] SELEMADEG TIMUR,[007] GADUNGAN,2. Perdesaan,42.44,37.71,33.62
15,5102011,[51] BALI,[02] TABANAN,[010] SELEMADEG,[014] SELEMADEG,2. Perdesaan,42.62,33.76,26.68
16,5103010,[51] BALI,[03] BADUNG,[010] KUTA SELATAN,[005] TANJUNG BENOA,1. Perkotaan,68.32,52.68,15.28
17,5103050,[51] BALI,[03] BADUNG,[050] ABIANSEMAL,[003] JAGAPATI,1. Perkotaan,71.42,57.4,10.75
18,5103030,[51] BALI,[03] BADUNG,[010] KUTA SELATAN,[005] TANJUNG BENOA,1. Perkotaan,68.32,52.68,15.28
19,5103040,[51] BALI,[03] BADUNG,[010] KUTA SELATAN,[005] TANJUNG BENOA,1. Perkotaan,68.32,52.68,15.28
20,5103020,[51] BALI,[03] BADUNG,[010] KUTA SELATAN,[005] TANJUNG BENOA,1. Perkotaan,68.32,52.68,15.28
21,5103060,[51] BALI,[03] BADUNG,[060] PETANG,[001] CARANGSARI,2. Perdesaan,37.18,21.96,33.71
22,5104070,[51] BALI,[04] GIANYAR,[070] PAYANGAN,[001] MELINGGIH KELOD,1. Perkotaan,71.8,52.7,13.79
23,5104020,[51] BALI,[03] BADUNG,[060] PETANG,[001] CARANGSARI,2. Perdesaan,37.18,21.96,33.71
24,5104060,[51] BALI,[03] BADUNG,[060] PETANG,[001] CARANGSARI,2. Perdesaan,37.18,21.96,33.71
25,5104010,[51] BALI,[03] BADUNG,[060] PETANG,[001] CARANGSARI,2. Perdesaan,37.18,21.96,33.71
26,5104030,[51] BALI,[03] BADUNG,[060] PETANG,[001] CARANGSARI,2. Perdesaan,37.18,21.96,33.71
27,5104050,[51] BALI,[03] BADUNG,[060] PETANG,[001] CARANGSARI,2. Perdesaan,37.18,21.96,33.71
28,5104040,[51] BALI,[03] BADUNG,[060] PETANG,[001] CARANGSARI,2. Perdesaan,37.18,21.96,33.71
29,5105030,[51] BALI,[05] KLUNGKUNG,[030] KLUNGKUNG,[009] SEMARAPURA KELOD KANGIN,1. Perkotaan,71.44,51.07,10.28
30,5105040,[51] BALI,[05] KLUNGKUNG,[020] BANJARANGKAN,[009] NYALIAN,1. Perkotaan,64.72,40.08,11.06
31,5105010,[51] BALI,[04] GIANYAR,[040] TAMPAKSIRING,[008] MANUKAYA,1. Perkotaan,64.07,49.37,12.64
32,5105020,[51] BALI,[04] GIANYAR,[040] TAMPAKSIRING,[008] MANUKAYA,1. Perkotaan,64.07,49.37,12.64
33,5106040,[51] BALI,[06] BANGLI,[040] KINTAMANI,[044] SUKAWANA,2. Perdesaan,55.48,25.7,30.62
34,5106030,[51] BALI,[05] KLUNGKUNG,[020] BANJARANGKAN,[009] NYALIAN,1. Perkotaan,64.72,40.08,11.06
35,5106010,[51] BALI,[05] KLUNGKUNG,[020] BANJARANGKAN,[009] NYALIAN,1. Perkotaan,64.72,40.08,11.06
36,5106020,[51] BALI,[05] KLUNGKUNG,[020] BANJARANGKAN,[009] NYALIAN,1. Perkotaan,64.72,40.08,11.06
37,5107020,[51] BALI,[07] KARANGASEM,[020] SIDEMEN,[007] LOKA SARI,2. Perdesaan,53.68,27.3,28.72
38,5107050,[51] BALI,[07] KARANGASEM,[010] RENDANG,[001] PESABAN,2. Perdesaan,50.51,20.18,25.98
39,5107060,[51] BALI,[07] KARANGASEM,[010] RENDANG,[001] PESABAN,2. Perdesaan,50.51,20.18,25.98
40,5107070,[51] BALI,[07] KARANGASEM,[010] RENDANG,[001] PESABAN,2. Perdesaan,50.51,20.18,25.98
41,5107040,[51] BALI,[07] KARANGASEM,[010] RENDANG,[001] PESABAN,2. Perdesaan,50.51,20.18,25.98
42,5107030,[51] BALI,[07] KARANGASEM,[030] MANGGIS,[002] GEGELANG,2. Perdesaan,42.36,21.28,29.25
43,5107010,[51] BALI,[06] BANGLI,[020] BANGLI,[003] BEBALANG,1. Perkotaan,62.9,40.34,15.6
44,5107080,[51] BALI,[07] KARANGASEM,[080] KUBU,[007] TIANYAR,1. Perkotaan,76.99,47.98,14.56
45,5108070,[51] BALI,[08] BULELENG,[060] BULELENG,[017] KALIUNTU,1. Perkotaan,72.54,40.18,14.02
46,5108030,[51] BALI,[08] BULELENG,[010] GEROKGAK,[007] MUSI,2. Perdesaan,42.96,23.09,27.07
47,5108080,[51] BALI,[08] BULELENG,[060] BULELENG,[017] KALIUNTU,1. Perkotaan,72.54,40.18,14.02
48,5108040,[51] BALI,[08] BULELENG,[010] GEROKGAK,[007] MUSI,2. Perdesaan,42.96,23.09,27.07
49,5108050,[51] BALI,[08] BULELENG,[010] GEROKGAK,[007] MUSI,2. Perdesaan,42.96,23.09,27.07
50,5108020,[51] BALI,[08] BULELENG,[010] GEROKGAK,[007] MUSI,2. Perdesaan,42.96,23.09,27.07
51,5108090,[51] BALI,[08] BULELENG,[060] BULELENG,[017] KALIUNTU,1. Perkotaan,72.54,40.18,14.02
52,5108010,[51] BALI,[08] BULELENG,[010] GEROKGAK,[007] MUSI,2. Perdesaan,42.96,23.09,27.07
53,5108060,[51] BALI,[08] BULELENG,[060] BULELENG,[017] KALIUNTU,1. Perkotaan,72.54,40.18,14.02
54,5171010,[51] BALI,[71] DENPASAR,[010] DENPASAR SELATAN,[004] SERANGAN,1. Perkotaan,75.5,45.73,18.06
55,5171031,[51] BALI,[71] DENPASAR,[020] DENPASAR TIMUR,[004] KESIMAN PETILAN,1. Perkotaan,65.43,41.82,15.91
56,5171030,[51] BALI,[71] DENPASAR,[030] DENPASAR BARAT,[009] TEGAL KERTHA,1. Perkotaan,76.68,42.13,19.7
57,5171020,[51] BALI,[71] DENPASAR,[010] DENPASAR SELATAN,[004] SERANGAN,1. Perkotaan,75.5,45.73,18.06
